Country,Mentions,Latitude,Longitude,radius
Germany,1787,51.165691,10.451526,15
France,992,46.227638,2.213749,10
Spain,343,40.463669,-3.74922,8
USA,121,37.09024,-95.712891,6
UK,82,55.378052,-3.435973,5
South Africa,31,-30.559483,22.937506,4
Netherlands,12,52.132633,5.291266,3
