key,value,date
Hurricane Florence,0.001,01/01/18
Hurricane Florence,0.001,01/02/18
Hurricane Florence,0.001,01/03/18
Hurricane Florence,0.001,01/04/18
Hurricane Florence,0.001,01/05/18
Hurricane Florence,0.001,01/06/18
Hurricane Florence,0.001,01/07/18
Hurricane Florence,0.001,01/08/18
Hurricane Florence,0.001,01/09/18
Hurricane Florence,0.001,01/10/18
Hurricane Florence,0.001,01/11/18
Hurricane Florence,0.001,01/12/18
Hurricane Florence,0.001,01/13/18
Hurricane Florence,0.001,01/14/18
Hurricane Florence,0.001,01/15/18
Hurricane Florence,0.001,01/16/18
Hurricane Florence,0.001,01/17/18
Hurricane Florence,0.001,01/18/18
Hurricane Florence,0.001,01/19/18
Hurricane Florence,0.001,01/20/18
Hurricane Florence,0.001,01/21/18
Hurricane Florence,0.001,01/22/18
Hurricane Florence,0.001,01/23/18
Hurricane Florence,0.001,01/24/18
Hurricane Florence,0.001,01/25/18
Hurricane Florence,0.001,01/26/18
Hurricane Florence,0.001,01/27/18
Hurricane Florence,0.001,01/28/18
Hurricane Florence,0.001,01/29/18
Hurricane Florence,0.001,01/30/18
Hurricane Florence,0.001,01/31/18
Hurricane Florence,0.001,02/01/18
Hurricane Florence,0.001,02/02/18
Hurricane Florence,0.001,02/03/18
Hurricane Florence,0.001,02/04/18
Hurricane Florence,0.001,02/05/18
Hurricane Florence,0.001,02/06/18
Hurricane Florence,0.001,02/07/18
Hurricane Florence,0.001,02/08/18
Hurricane Florence,0.001,02/09/18
Hurricane Florence,0.001,02/10/18
Hurricane Florence,0.001,02/11/18
Hurricane Florence,0.001,02/12/18
Hurricane Florence,0.001,02/13/18
Hurricane Florence,0.001,02/14/18
Hurricane Florence,0.001,02/15/18
Hurricane Florence,0.001,02/16/18
Hurricane Florence,0.001,02/17/18
Hurricane Florence,0.001,02/18/18
Hurricane Florence,0.001,02/19/18
Hurricane Florence,0.001,02/20/18
Hurricane Florence,0.001,02/21/18
Hurricane Florence,0.001,02/22/18
Hurricane Florence,0.001,02/23/18
Hurricane Florence,0.001,02/24/18
