key,value,date
Brexit,0.001,03/04/16
Irish General Election,0.517784054824,03/04/16
Lahore Blast,0.001,03/04/16
Brexit,0.001,03/05/16
Irish General Election,0.799858820629,03/05/16
Lahore Blast,0.001,03/05/16
Brexit,0.001,03/06/16
Irish General Election,0.490391534884,03/06/16
Lahore Blast,0.001,03/06/16
Brexit,0.001,03/07/16
Irish General Election,0.494312129135,03/07/16
Lahore Blast,0.001,03/07/16
Brexit,0.001,03/08/16
Irish General Election,0.798071052598,03/08/16
Lahore Blast,0.001,03/08/16
Brexit,0.001,03/09/16
Irish General Election,0.851547104285,03/09/16
Lahore Blast,0.001,03/09/16
Brexit,0.001,03/10/16
Irish General Election,0.555452675128,03/10/16
Lahore Blast,0.001,03/10/16
Brexit,0.001,03/11/16
Irish General Election,0.001,03/11/16
Lahore Blast,0.001,03/11/16
Brexit,0.001,03/12/16
Irish General Election,0.001,03/12/16
Lahore Blast,0.001,03/12/16
Brexit,0.001,03/13/16
Irish General Election,0.001,03/13/16
Lahore Blast,0.001,03/13/16
Brexit,0.001,03/14/16
Irish General Election,0.001,03/14/16
Lahore Blast,0.001,03/14/16
Brexit,0.001,03/15/16
Irish General Election,0.001,03/15/16
Lahore Blast,0.001,03/15/16
Brexit,0.001,03/16/16
Irish General Election,0.001,03/16/16
Lahore Blast,0.001,03/16/16
Brexit,0.001,03/17/16
Irish General Election,0.001,03/17/16
Lahore Blast,0.001,03/17/16
Brexit,0.001,03/18/16
Irish General Election,0.001,03/18/16
Lahore Blast,0.001,03/18/16
Brexit,0.001,03/19/16
Irish General Election,0.001,03/19/16
Lahore Blast,0.001,03/19/16
Brexit,0.001,03/20/16
Irish General Election,0.001,03/20/16
Lahore Blast,0.001,03/20/16
Brexit,0.001,03/21/16
Irish General Election,0.001,03/21/16
Lahore Blast,0.001,03/21/16
Brexit,0.001,03/22/16
Irish General Election,0.001,03/22/16
Lahore Blast,0.001,03/22/16
Brexit,0.001,03/23/16
Irish General Election,0.001,03/23/16
Lahore Blast,0.001,03/23/16
Brexit,0.001,03/24/16
Irish General Election,0.001,03/24/16
Lahore Blast,0.001,03/24/16
Brexit,0.001,03/25/16
Irish General Election,0.001,03/25/16
Lahore Blast,0.001,03/25/16
Brexit,0.001,03/26/16
Irish General Election,0.001,03/26/16
Lahore Blast,0.001,03/26/16
Brexit,0.001,03/27/16
Irish General Election,0.001,03/27/16
Lahore Blast,0.334991174524,03/27/16
Brexit,0.001,03/28/16
Irish General Election,0.001,03/28/16
Lahore Blast,0.2871986436,03/28/16
Brexit,0.001,03/29/16
Irish General Election,0.001,03/29/16
