Country,Latitude,Longitude,Mentions,radius
Ireland,53.41291,-8.24389,418,12
Germany,51.165691,10.451526,121,9
USA,37.09024,-95.712891,76,8
China,35.86166,104.195396,82,9
France,46.227638,2.213749,44,6
Indonesia,-0.789275,113.921326,12,4
UK,55.378052,-3.435973,32,5
Canada,56.130367,-106.346771,21,5
Belgium,50.503887,4.469936,19,4
Austria,47.516232,14.550072,5,2
