key,value,date
Cyclone Pam,0.001,01/01/15
Germanwings Crash,0.001,01/01/15
Paris Attacks,0.001,01/01/15
Cyclone Pam,0.001,01/02/15
Germanwings Crash,0.001,01/02/15
Paris Attacks,0.001,01/02/15
Cyclone Pam,0.001,01/03/15
Germanwings Crash,0.001,01/03/15
Paris Attacks,0.001,01/03/15
Cyclone Pam,0.001,01/04/15
Germanwings Crash,0.001,01/04/15
Paris Attacks,0.001,01/04/15
Cyclone Pam,0.001,01/05/15
Germanwings Crash,0.001,01/05/15
Paris Attacks,0.001,01/05/15
Cyclone Pam,0.001,01/06/15
Germanwings Crash,0.001,01/06/15
Paris Attacks,0.001,01/06/15
Cyclone Pam,0.001,01/07/15
Germanwings Crash,0.001,01/07/15
Paris Attacks,0.001,01/07/15
Cyclone Pam,0.001,01/08/15
Germanwings Crash,0.001,01/08/15
Paris Attacks,0.001,01/08/15
Cyclone Pam,0.001,01/09/15
Germanwings Crash,0.001,01/09/15
Paris Attacks,0.001,01/09/15
Cyclone Pam,0.001,01/10/15
Germanwings Crash,0.001,01/10/15
Paris Attacks,0.001,01/10/15
Cyclone Pam,0.001,01/11/15
Germanwings Crash,0.001,01/11/15
Paris Attacks,0.001,01/11/15
Cyclone Pam,0.001,01/12/15
Germanwings Crash,0.001,01/12/15
Paris Attacks,0.001,01/12/15
Cyclone Pam,0.001,01/13/15
Germanwings Crash,0.001,01/13/15
Paris Attacks,0.001,01/13/15
Cyclone Pam,0.001,01/14/15
Germanwings Crash,0.001,01/14/15
Paris Attacks,0.001,01/14/15
Cyclone Pam,0.001,01/15/15
Germanwings Crash,0.001,01/15/15
Paris Attacks,0.001,01/15/15
Cyclone Pam,0.001,01/16/15
Germanwings Crash,0.001,01/16/15
Paris Attacks,0.001,01/16/15
Cyclone Pam,0.001,01/17/15
Germanwings Crash,0.001,01/17/15
Paris Attacks,0.001,01/17/15
Cyclone Pam,0.001,01/18/15
Germanwings Crash,0.001,01/18/15
Paris Attacks,0.001,01/18/15
Cyclone Pam,0.001,01/19/15
Germanwings Crash,0.001,01/19/15
Paris Attacks,0.001,01/19/15
Cyclone Pam,0.001,01/20/15
Germanwings Crash,0.001,01/20/15
Paris Attacks,0.001,01/20/15
Cyclone Pam,0.001,01/21/15
Germanwings Crash,0.001,01/21/15
Paris Attacks,0.001,01/21/15
Cyclone Pam,0.001,01/22/15
Germanwings Crash,0.001,01/22/15
Paris Attacks,0.001,01/22/15
Cyclone Pam,0.001,01/23/15
Germanwings Crash,0.001,01/23/15
Paris Attacks,0.001,01/23/15
Cyclone Pam,0.001,01/24/15
Germanwings Crash,0.001,01/24/15
Paris Attacks,0.001,01/24/15
Cyclone Pam,0.001,01/25/15
Germanwings Crash,0.001,01/25/15
Paris Attacks,0.001,01/25/15
Cyclone Pam,0.001,01/26/15
Germanwings Crash,0.001,01/26/15
Paris Attacks,0.001,01/26/15
Cyclone Pam,0.001,01/27/15
Germanwings Crash,0.001,01/27/15
Paris Attacks,0.001,01/27/15
Cyclone Pam,0.001,01/28/15
Germanwings Crash,0.001,01/28/15
Paris Attacks,0.001,01/28/15
Cyclone Pam,0.001,01/29/15
Germanwings Crash,0.001,01/29/15
Paris Attacks,0.001,01/29/15
Cyclone Pam,0.001,01/30/15
Germanwings Crash,0.001,01/30/15
Paris Attacks,0.001,01/30/15
Cyclone Pam,0.001,01/31/15
Germanwings Crash,0.001,01/31/15
Paris Attacks,0.001,01/31/15
Cyclone Pam,0.001,02/01/15
Germanwings Crash,0.001,02/01/15
Paris Attacks,0.001,02/01/15
Cyclone Pam,0.001,02/02/15
Germanwings Crash,0.001,02/02/15
Paris Attacks,0.001,02/02/15
Cyclone Pam,0.001,02/03/15
Germanwings Crash,0.001,02/03/15
Paris Attacks,0.001,02/03/15
Cyclone Pam,0.001,02/04/15
Germanwings Crash,0.001,02/04/15
Paris Attacks,0.001,02/04/15
Cyclone Pam,0.001,02/05/15
Germanwings Crash,0.001,02/05/15
Paris Attacks,0.001,02/05/15
Cyclone Pam,0.001,02/06/15
Germanwings Crash,0.001,02/06/15
Paris Attacks,0.001,02/06/15
Cyclone Pam,0.001,02/07/15
Germanwings Crash,0.001,02/07/15
Paris Attacks,0.001,02/07/15
Cyclone Pam,0.001,02/08/15
Germanwings Crash,0.001,02/08/15
Paris Attacks,0.001,02/08/15
Cyclone Pam,0.001,02/09/15
Germanwings Crash,0.001,02/09/15
Paris Attacks,0.001,02/09/15
Cyclone Pam,0.001,02/10/15
Germanwings Crash,0.001,02/10/15
Paris Attacks,0.001,02/10/15
Cyclone Pam,0.001,02/11/15
Germanwings Crash,0.001,02/11/15
Paris Attacks,0.001,02/11/15
Cyclone Pam,0.001,02/12/15
Germanwings Crash,0.001,02/12/15
Paris Attacks,0.001,02/12/15
Cyclone Pam,0.001,02/13/15
Germanwings Crash,0.001,02/13/15
Paris Attacks,0.001,02/13/15
Cyclone Pam,0.001,02/14/15
Germanwings Crash,0.001,02/14/15
Paris Attacks,0.001,02/14/15
Cyclone Pam,0.001,02/15/15
Germanwings Crash,0.001,02/15/15
Paris Attacks,0.001,02/15/15
Cyclone Pam,0.001,02/16/15
Germanwings Crash,0.001,02/16/15
Paris Attacks,0.001,02/16/15
Cyclone Pam,0.001,02/17/15
Germanwings Crash,0.001,02/17/15
Paris Attacks,0.001,02/17/15
Cyclone Pam,0.001,02/18/15
Germanwings Crash,0.001,02/18/15
Paris Attacks,0.001,02/18/15
Cyclone Pam,0.001,02/19/15
Germanwings Crash,0.001,02/19/15
Paris Attacks,0.001,02/19/15
Cyclone Pam,0.001,02/20/15
Germanwings Crash,0.001,02/20/15
Paris Attacks,0.001,02/20/15
Cyclone Pam,0.001,02/21/15
Germanwings Crash,0.001,02/21/15
Paris Attacks,0.001,02/21/15
Cyclone Pam,0.001,02/22/15
Germanwings Crash,0.001,02/22/15
Paris Attacks,0.001,02/22/15
Cyclone Pam,0.001,02/23/15
Germanwings Crash,0.001,02/23/15
Paris Attacks,0.001,02/23/15
Cyclone Pam,0.001,02/24/15
Germanwings Crash,0.001,02/24/15
Paris Attacks,0.001,02/24/15
Cyclone Pam,0.001,02/25/15
Germanwings Crash,0.001,02/25/15
Paris Attacks,0.001,02/25/15
Cyclone Pam,0.001,02/26/15
Germanwings Crash,0.001,02/26/15
Paris Attacks,0.001,02/26/15
Cyclone Pam,0.001,02/27/15
Germanwings Crash,0.001,02/27/15
Paris Attacks,0.001,02/27/15
Cyclone Pam,0.001,02/28/15
Germanwings Crash,0.001,02/28/15
Paris Attacks,0.001,02/28/15
Cyclone Pam,0.001,03/01/15
Germanwings Crash,0.001,03/01/15
Paris Attacks,0.001,03/01/15
Cyclone Pam,0.001,03/02/15
Germanwings Crash,0.001,03/02/15
Paris Attacks,0.001,03/02/15
Cyclone Pam,0.001,03/03/15
Germanwings Crash,0.001,03/03/15
Paris Attacks,0.001,03/03/15
Cyclone Pam,0.001,03/04/15
Germanwings Crash,0.001,03/04/15
Paris Attacks,0.001,03/04/15
Cyclone Pam,0.001,03/05/15
Germanwings Crash,0.001,03/05/15
Paris Attacks,0.001,03/05/15
Cyclone Pam,0.407280366067,03/06/15
Germanwings Crash,0.001,03/06/15
Paris Attacks,0.001,03/06/15
Cyclone Pam,0.212295710568,03/07/15
Germanwings Crash,0.001,03/07/15
Paris Attacks,0.001,03/07/15
Cyclone Pam,0.247515996702,03/08/15
Germanwings Crash,0.001,03/08/15
Paris Attacks,0.001,03/08/15
Cyclone Pam,0.929753200403,03/09/15
Germanwings Crash,0.001,03/09/15
Paris Attacks,0.001,03/09/15
Cyclone Pam,0.558884174075,03/10/15
Germanwings Crash,0.001,03/10/15
Paris Attacks,0.001,03/10/15
Cyclone Pam,0.449286200767,03/11/15
Germanwings Crash,0.001,03/11/15
Paris Attacks,0.001,03/11/15
Cyclone Pam,0.872710461066,03/12/15
Germanwings Crash,0.001,03/12/15
Paris Attacks,0.001,03/12/15
Cyclone Pam,0.397202083636,03/13/15
Germanwings Crash,0.001,03/13/15
Paris Attacks,0.001,03/13/15
Cyclone Pam,0.226884693586,03/14/15
Germanwings Crash,0.001,03/14/15
Paris Attacks,0.001,03/14/15
Cyclone Pam,0.537882160804,03/15/15
Germanwings Crash,0.001,03/15/15
Paris Attacks,0.001,03/15/15
Cyclone Pam,0.718301963354,03/16/15
Germanwings Crash,0.001,03/16/15
Paris Attacks,0.001,03/16/15
Cyclone Pam,0.287569327862,03/17/15
Germanwings Crash,0.001,03/17/15
Paris Attacks,0.001,03/17/15
Cyclone Pam,0.412338655156,03/18/15
Germanwings Crash,0.001,03/18/15
Paris Attacks,0.001,03/18/15
Cyclone Pam,0.752023702207,03/19/15
Germanwings Crash,0.001,03/19/15
Paris Attacks,0.001,03/19/15
Cyclone Pam,0.330092703248,03/20/15
Germanwings Crash,0.001,03/20/15
Paris Attacks,0.001,03/20/15
Cyclone Pam,0.578097683964,03/21/15
Germanwings Crash,0.001,03/21/15
Paris Attacks,0.001,03/21/15
Cyclone Pam,0.580983881195,03/22/15
Germanwings Crash,0.001,03/22/15
Paris Attacks,0.001,03/22/15
Cyclone Pam,0.001,03/23/15
Germanwings Crash,0.001,03/23/15
Paris Attacks,0.001,03/23/15
Cyclone Pam,0.001,03/24/15
Germanwings Crash,0.963544757491,03/24/15
Paris Attacks,0.001,03/24/15
Cyclone Pam,0.001,03/25/15
Germanwings Crash,0.33189879203,03/25/15
Paris Attacks,0.001,03/25/15
Cyclone Pam,0.001,03/26/15
Germanwings Crash,0.275277074229,03/26/15
Paris Attacks,0.001,03/26/15
Cyclone Pam,0.001,03/27/15
Germanwings Crash,0.830031848925,03/27/15
Paris Attacks,0.001,03/27/15
Cyclone Pam,0.001,03/28/15
Germanwings Crash,0.378313955913,03/28/15
Paris Attacks,0.001,03/28/15
Cyclone Pam,0.001,03/29/15
Germanwings Crash,0.517064010567,03/29/15
Paris Attacks,0.001,03/29/15
