Country,Mentions,Latitude,Longitude,radius
France,6210,46.227638,2.213749,16
USA,231,37.09024,-95.712891,2.4
Germany,121,51.165691,10.451526,1.7
Canada,60,56.130367,-106.346771,1.46
UK,2020,55.378052,-3.435973,8
Spain,300,40.463669,-3.74922,3
Italy,123,41.871941,12.56738,1.71
Netherlands,75,52.132633,5.291266,1.4
Switzerland,43,46.818188,8.227512,1.2
Australia,20,-25.274399,133.775131,0.8
