key,value,date
California Wildfire,0.001,01/01/17
Hurricane Harvey,0.001,01/01/17
Iraq Earthquake,0.001,01/01/17
California Wildfire,0.001,01/02/17
Hurricane Harvey,0.001,01/02/17
Iraq Earthquake,0.001,01/02/17
California Wildfire,0.001,01/03/17
Hurricane Harvey,0.001,01/03/17
Iraq Earthquake,0.001,01/03/17
California Wildfire,0.001,01/04/17
Hurricane Harvey,0.001,01/04/17
Iraq Earthquake,0.001,01/04/17
California Wildfire,0.001,01/05/17
Hurricane Harvey,0.001,01/05/17
Iraq Earthquake,0.001,01/05/17
California Wildfire,0.001,01/06/17
Hurricane Harvey,0.001,01/06/17
Iraq Earthquake,0.001,01/06/17
California Wildfire,0.001,01/07/17
Hurricane Harvey,0.001,01/07/17
Iraq Earthquake,0.001,01/07/17
California Wildfire,0.001,01/08/17
Hurricane Harvey,0.001,01/08/17
Iraq Earthquake,0.001,01/08/17
California Wildfire,0.001,01/09/17
Hurricane Harvey,0.001,01/09/17
Iraq Earthquake,0.001,01/09/17
California Wildfire,0.001,01/10/17
Hurricane Harvey,0.001,01/10/17
Iraq Earthquake,0.001,01/10/17
California Wildfire,0.001,01/11/17
Hurricane Harvey,0.001,01/11/17
Iraq Earthquake,0.001,01/11/17
California Wildfire,0.001,01/12/17
Hurricane Harvey,0.001,01/12/17
Iraq Earthquake,0.001,01/12/17
California Wildfire,0.001,01/13/17
Hurricane Harvey,0.001,01/13/17
Iraq Earthquake,0.001,01/13/17
California Wildfire,0.001,01/14/17
Hurricane Harvey,0.001,01/14/17
Iraq Earthquake,0.001,01/14/17
California Wildfire,0.001,01/15/17
Hurricane Harvey,0.001,01/15/17
Iraq Earthquake,0.001,01/15/17
California Wildfire,0.001,01/16/17
Hurricane Harvey,0.001,01/16/17
Iraq Earthquake,0.001,01/16/17
California Wildfire,0.001,01/17/17
Hurricane Harvey,0.001,01/17/17
Iraq Earthquake,0.001,01/17/17
California Wildfire,0.001,01/18/17
Hurricane Harvey,0.001,01/18/17
Iraq Earthquake,0.001,01/18/17
California Wildfire,0.001,01/19/17
Hurricane Harvey,0.001,01/19/17
Iraq Earthquake,0.001,01/19/17
California Wildfire,0.001,01/20/17
Hurricane Harvey,0.001,01/20/17
Iraq Earthquake,0.001,01/20/17
California Wildfire,0.001,01/21/17
Hurricane Harvey,0.001,01/21/17
Iraq Earthquake,0.001,01/21/17
California Wildfire,0.001,01/22/17
Hurricane Harvey,0.001,01/22/17
Iraq Earthquake,0.001,01/22/17
California Wildfire,0.001,01/23/17
Hurricane Harvey,0.001,01/23/17
Iraq Earthquake,0.001,01/23/17
California Wildfire,0.001,01/24/17
Hurricane Harvey,0.001,01/24/17
Iraq Earthquake,0.001,01/24/17
California Wildfire,0.001,01/25/17
Hurricane Harvey,0.001,01/25/17
Iraq Earthquake,0.001,01/25/17
California Wildfire,0.001,01/26/17
Hurricane Harvey,0.001,01/26/17
Iraq Earthquake,0.001,01/26/17
California Wildfire,0.001,01/27/17
Hurricane Harvey,0.001,01/27/17
Iraq Earthquake,0.001,01/27/17
California Wildfire,0.001,01/28/17
Hurricane Harvey,0.001,01/28/17
Iraq Earthquake,0.001,01/28/17
California Wildfire,0.001,01/29/17
Hurricane Harvey,0.001,01/29/17
Iraq Earthquake,0.001,01/29/17
California Wildfire,0.001,01/30/17
Hurricane Harvey,0.001,01/30/17
Iraq Earthquake,0.001,01/30/17
California Wildfire,0.001,01/31/17
Hurricane Harvey,0.001,01/31/17
Iraq Earthquake,0.001,01/31/17
California Wildfire,0.001,02/01/17
Hurricane Harvey,0.001,02/01/17
Iraq Earthquake,0.001,02/01/17
California Wildfire,0.001,02/02/17
Hurricane Harvey,0.001,02/02/17
Iraq Earthquake,0.001,02/02/17
California Wildfire,0.001,02/03/17
Hurricane Harvey,0.001,02/03/17
Iraq Earthquake,0.001,02/03/17
California Wildfire,0.001,02/04/17
Hurricane Harvey,0.001,02/04/17
Iraq Earthquake,0.001,02/04/17
California Wildfire,0.001,02/05/17
Hurricane Harvey,0.001,02/05/17
Iraq Earthquake,0.001,02/05/17
California Wildfire,0.001,02/06/17
Hurricane Harvey,0.001,02/06/17
Iraq Earthquake,0.001,02/06/17
California Wildfire,0.001,02/07/17
Hurricane Harvey,0.001,02/07/17
Iraq Earthquake,0.001,02/07/17
California Wildfire,0.001,02/08/17
Hurricane Harvey,0.001,02/08/17
Iraq Earthquake,0.001,02/08/17
California Wildfire,0.001,02/09/17
Hurricane Harvey,0.001,02/09/17
Iraq Earthquake,0.001,02/09/17
California Wildfire,0.001,02/10/17
Hurricane Harvey,0.001,02/10/17
Iraq Earthquake,0.001,02/10/17
California Wildfire,0.001,02/11/17
Hurricane Harvey,0.001,02/11/17
Iraq Earthquake,0.001,02/11/17
California Wildfire,0.001,02/12/17
Hurricane Harvey,0.001,02/12/17
Iraq Earthquake,0.001,02/12/17
California Wildfire,0.001,02/13/17
Hurricane Harvey,0.001,02/13/17
Iraq Earthquake,0.001,02/13/17
California Wildfire,0.001,02/14/17
Hurricane Harvey,0.001,02/14/17
Iraq Earthquake,0.001,02/14/17
California Wildfire,0.001,02/15/17
Hurricane Harvey,0.001,02/15/17
Iraq Earthquake,0.001,02/15/17
California Wildfire,0.001,02/16/17
Hurricane Harvey,0.001,02/16/17
Iraq Earthquake,0.001,02/16/17
California Wildfire,0.001,02/17/17
Hurricane Harvey,0.001,02/17/17
Iraq Earthquake,0.001,02/17/17
California Wildfire,0.001,02/18/17
Hurricane Harvey,0.001,02/18/17
Iraq Earthquake,0.001,02/18/17
California Wildfire,0.001,02/19/17
Hurricane Harvey,0.001,02/19/17
Iraq Earthquake,0.001,02/19/17
California Wildfire,0.001,02/20/17
Hurricane Harvey,0.001,02/20/17
Iraq Earthquake,0.001,02/20/17
California Wildfire,0.001,02/21/17
Hurricane Harvey,0.001,02/21/17
Iraq Earthquake,0.001,02/21/17
