Country,Latitude,Longitude,Mentions,radius
Pakistan,30.3753,69.3451,1989,16
India,20.5937,78.9629,324,11
France,48.8566,2.3522,72,8
Belgium,50.5039,4.4699,63,7
Iraq,33.2232,43.6793,89,9
Iran,32.4279,53.688,121,10
Turkey,38.9637,35.2433,92,9
USA,37.09024,-95.7129,54,6
Australia,25.2744,133.7751,39,4
Israel,31.0461,34.8516,77,8
Syria,34.8021,38.9968,28,3
