Country,Latitude,Longitude,Mentions,radius
USA,37.09024,-95.712891,102,13
Canada,56.130367,-106.346771,54,10
Mexico,23.634501,-102.552788,39,6
India,20.593683,78.962883,12,3
Russia,61.52401,105.318756,23,4
South Korea,35.907757,127.766922,34,5
North Korea,40.339851,127.510094,28,5
Brazil,-14.235004,-51.925282,19,4
Egypt,26.820553,30.802498,11,3
