Country,Mentions,Latitude,Longitude,radius
USA,7545,37.09024,-95.712891,16
Canada,2134,56.130367,-106.346771,8
Puerto Rico,1554,18.220833,-66.590149,4
Brazil,312,-14.235004,-51.925282,2.5
India,76,20.593683,78.962883,0.9
New Zealand,124,-40.900558,174.885971,1.1
UK,180,55.378052,-3.435973,1.4
North Korea,43,40.339851,127.510094,0.6
Japan,22,36.204823,138.25293,0.4
Mexico,91,23.634501,-102.552788,0.97
